Link,Name,IATA,ICAO,Location,Latitude,Longitude
https://en.wikipedia.org/wiki/Millard_Airport_(Nebraska),Millard Airport (FAA: MLE),MIQ,KMLE,"Omaha, Nebraska, United States",41.19611111111111,-96.11222222222221
https://en.wikipedia.org/wiki/Monastir_Habib_Bourguiba_International_Airport,Monastir Habib Bourguiba International Airport,MIR,DTMB,"Monastir, Tunisia",35.75805555555556,10.754722222222222
https://en.wikipedia.org/wiki/Misima_Island_Airport,Misima Island Airport,MIS,AYMS,"Misima Island, Papua New Guinea",-10.689166666666667,152.83805555555557
https://en.wikipedia.org/wiki/Shafter_Airport,Shafter Airport (Minter Field),MIT,KMIT,"Shafter, California, United States",35.505833333333335,-119.19166666666668
https://en.wikipedia.org/wiki/Maiduguri_International_Airport,Maiduguri International Airport,MIU,DNMA,"Maiduguri, Nigeria",11.855555555555556,13.081944444444444
https://en.wikipedia.org/wiki/Millville_Municipal_Airport,Millville Municipal Airport,MIV,KMIV,"Millville, New Jersey, United States",39.367777777777775,-75.07222222222222
https://en.wikipedia.org/w/index.php?title=Marshalltown_Municipal_Airport&action=edit&redlink=1,Marshalltown Municipal Airport,MIW,KMIW,"Marshalltown, Iowa, United States",,
https://en.wikipedia.org/w/index.php?title=Mirit%C3%AD-Paran%C3%A1_Airport&action=edit&redlink=1,Mirití-Paraná Airport,MIX,,"Mirití-Paraná, Colombia",,
https://en.wikipedia.org/w/index.php?title=Mittiebah_Airport&action=edit&redlink=1,Mittiebah Airport[1],MIY,,"Mittiebah Station, Northern Territory, Australia",,
https://en.wikipedia.org/w/index.php?title=Mainoru_Airport&action=edit&redlink=1,Mainoru Airport[1],MIZ,,"Mainoru, Northern Territory, Australia",,
https://en.wikipedia.org/wiki/Manja_Airport,Manja Airport,MJA,FMSJ,"Manja, Madagascar",-21.416666666666668,44.31666666666667
https://en.wikipedia.org/wiki/Mejit_Airport,Mejit Airport (FAA: Q30),MJB,,"Mejit Island, Marshall Islands",10.283333333333333,170.869
https://en.wikipedia.org/wiki/Man_Airport,Man Airport,MJC,DIMN,"Man, Ivory Coast",7.272222222222222,-7.5874999999999995
https://en.wikipedia.org/wiki/Moenjodaro_Airport,Moenjodaro Airport,MJD,OPMJ,"Mohenjo-daro, Pakistan",27.335277777777776,68.14305555555556
https://en.wikipedia.org/wiki/Majkin_Airport,Majkin Airport,MJE,,"Majkin, Marshall Islands",8.163333333333334,168.17388888888888
"https://en.wikipedia.org/wiki/Mosj%C3%B8en_Airport,_Kj%C3%A6rstad","Mosjøen Airport, Kjærstad",MJF,ENMS,"Mosjøen, Norway",65.78399722222223,13.214913888888889
https://en.wikipedia.org/wiki/Mitiga_International_Airport,Mitiga International Airport,MJI,HLLM,"Tripoli, Libya",32.9,13.283333333333333
https://en.wikipedia.org/w/index.php?title=Moki_Airport&action=edit&redlink=1,Moki Airport,MJJ,,"Moki, Papua New Guinea",,
https://en.wikipedia.org/wiki/Shark_Bay_Airport,Shark Bay Airport,MJK,YSHK,"Monkey Mia, Western Australia, Australia",-25.893333333333334,113.57666666666667
https://en.wikipedia.org/wiki/Mouila_Airport,Mouila Airport,MJL,FOGM,"Mouila, Gabon",-1.8480555555555558,11.057777777777778
https://en.wikipedia.org/wiki/Mbuji_Mayi_Airport,Mbuji Mayi Airport,MJM,FZWA,"Mbuji-Mayi, Democratic Republic of the Congo",-6.1211111111111105,23.56888888888889
